
 BACKGROUNDS 
-----------------------------------------------------------------
2b2n_ca48                 A = 4.00e-05  Eff = 6.10e-05  Nexp = 2.57e-01  +/- 2.59e-02 
exbg7co60_p2              A = 6.09e+00  Eff = 3.88e-08  Nexp = 2.49e+01  +/- 1.42e+00 
exbg7pa234m_p2            A = 1.51e+03  Eff = 1.32e-09  Nexp = 2.10e+02  +/- 1.61e+01 
exbg7tl208_p2             A = 3.07e+00  Eff = 4.36e-08  Nexp = 1.41e+01  +/- 1.31e+00 
exbg7ac228_p2             A = 8.54e+00  Eff = 1.16e-08  Nexp = 1.04e+01  +/- 1.12e+00 
exbg7bi214_p2             A = 9.12e+00  Eff = 2.18e-08  Nexp = 2.09e+01  +/- 1.51e+00 
exbg7k40_p2               A = 1.00e+02  Eff = 4.35e-09  Nexp = 4.60e+01  +/- 5.38e+00 
scink40_p2                A = 7.17e+00  Eff = 2.93e-08  Nexp = 2.22e+01  +/- 1.40e+00 
sfoilbi214_p2             A = 0.00e+00  Eff = -nan      Nexp = 0.00e+00  +/- 0.00e+00 
sfoilpb214_p2             A = 0.00e+00  Eff = -nan      Nexp = 0.00e+00  +/- 0.00e+00 
sscinbi214_p2             A = 3.80e-01  Eff = 7.66e-08  Nexp = 3.07e+00  +/- 6.35e-01 
sscinpb214_p2             A = 3.80e-01  Eff = 1.31e-08  Nexp = 5.24e-01  +/- 1.38e-01 
sscinbi210_p2             A = 3.04e+01  Eff = 1.32e-08  Nexp = 4.24e+01  +/- 6.58e+00 
sscineu152_p2             A = 0.00e+00  Eff = -nan      Nexp = 0.00e+00  +/- 0.00e+00 
swiretl208_p2             A = 0.00e+00  Eff = -nan      Nexp = 0.00e+00  +/- 0.00e+00 
swirebi214_p2             A = 1.98e+02  Eff = 1.05e-08  Nexp = 2.19e+02  +/- 5.18e+00 
swirek40_p2               A = 0.00e+00  Eff = -nan      Nexp = 0.00e+00  +/- 0.00e+00 
swirepb214_p2             A = 1.98e+02  Eff = 6.99e-10  Nexp = 1.46e+01  +/- 6.17e-01 
swirepb211_p2             A = 0.00e+00  Eff = -nan      Nexp = 0.00e+00  +/- 0.00e+00 
swiretl207_p2             A = 0.00e+00  Eff = -nan      Nexp = 0.00e+00  +/- 0.00e+00 
wiresco60_p2              A = 0.00e+00  Eff = -nan      Nexp = 0.00e+00  +/- 0.00e+00 


 DATA
-----------------------------------------------------------------
Runtime	= 1221.04 days
Events 	= 447392.00
