
 BACKGROUNDS 
==================================================================
exbg11bi212_p2            A = 0.00e+00  Eff = nan       Nexp = 0.00e+00 +/- 0.00e+00 
exbg11tl208_p2            A = 2.70e+01  Eff = 8.92e-11  Nexp = 2.54e-01 +/- 1.79e-01 
exbg11ac228_p2            A = 7.27e+01  Eff = 2.93e-11  Nexp = 2.25e-01 +/- 2.25e-01 
exbg11bi214_p2            A = 0.00e+00  Eff = nan       Nexp = 0.00e+00 +/- 0.00e+00 
exbg11k40_p2              A = 1.08e+03  Eff = 9.87e-12  Nexp = 1.12e+00 +/- 6.48e-01 
exbg17co60_p2             A = 4.76e+01  Eff = 1.47e-10  Nexp = 7.40e-01 +/- 7.40e-01 
exbg2tl208_p2             A = 0.00e+00  Eff = nan       Nexp = 0.00e+00 +/- 0.00e+00 
exbg2bi214_p2             A = 0.00e+00  Eff = nan       Nexp = 0.00e+00 +/- 0.00e+00 
exbg2pb214_p2             A = 0.00e+00  Eff = nan       Nexp = 0.00e+00 +/- 0.00e+00 
exbg4tl208_p2             A = 0.00e+00  Eff = nan       Nexp = 0.00e+00 +/- 0.00e+00 
exbg4ac228_p2             A = 1.35e+03  Eff = 4.20e-12  Nexp = 5.96e-01 +/- 5.96e-01 
exbg4bi214_p2             A = 7.36e+03  Eff = 7.77e-13  Nexp = 6.03e-01 +/- 6.03e-01 
exbg6co60_p2              A = 1.84e+01  Eff = 1.36e-10  Nexp = 2.64e-01 +/- 2.64e-01 
exbg7co60_p2              A = 6.09e+00  Eff = 2.55e-10  Nexp = 1.64e-01 +/- 1.16e-01 
exbg7pa234m_p2            A = 1.51e+03  Eff = 8.11e-12  Nexp = 1.29e+00 +/- 1.29e+00 
exbg7tl208_p2             A = 0.00e+00  Eff = nan       Nexp = 0.00e+00 +/- 0.00e+00 
exbg7ac228_p2             A = 0.00e+00  Eff = nan       Nexp = 0.00e+00 +/- 0.00e+00 
exbg7bi214_p2             A = 0.00e+00  Eff = nan       Nexp = 0.00e+00 +/- 0.00e+00 
exbg7k40_p2               A = 0.00e+00  Eff = nan       Nexp = 0.00e+00 +/- 0.00e+00 
scink40_p2                A = 0.00e+00  Eff = nan       Nexp = 0.00e+00 +/- 0.00e+00 
sfoilbi214_p2             A = 0.00e+00  Eff = nan       Nexp = 0.00e+00 +/- 0.00e+00 
sfoilpb214_p2             A = 0.00e+00  Eff = nan       Nexp = 0.00e+00 +/- 0.00e+00 
sscinbi214_p2             A = 0.00e+00  Eff = nan       Nexp = 0.00e+00 +/- 0.00e+00 
sscinpb214_p2             A = 3.80e-01  Eff = 1.08e-09  Nexp = 4.31e-02 +/- 4.31e-02 
sscinbi210_p2             A = 0.00e+00  Eff = nan       Nexp = 0.00e+00 +/- 0.00e+00 
sscineu152_p2             A = 0.00e+00  Eff = nan       Nexp = 0.00e+00 +/- 0.00e+00 
swiretl208_p2             A = 0.00e+00  Eff = nan       Nexp = 0.00e+00 +/- 0.00e+00 
swirebi214_p2             A = 1.98e+02  Eff = 3.24e-11  Nexp = 6.79e-01 +/- 2.79e-01 
swirek40_p2               A = 0.00e+00  Eff = nan       Nexp = 0.00e+00 +/- 0.00e+00 
swirepb214_p2             A = 1.98e+02  Eff = 6.07e-11  Nexp = 1.27e+00 +/- 1.80e-01 
swirepb211_p2             A = 0.00e+00  Eff = nan       Nexp = 0.00e+00 +/- 0.00e+00 
swiretl207_p2             A = 0.00e+00  Eff = nan       Nexp = 0.00e+00 +/- 0.00e+00 
wiresco60_p2              A = 0.00e+00  Eff = nan       Nexp = 0.00e+00 +/- 0.00e+00 


 DATA
==================================================================
Runtime     = 1221.04 days
Corr. Time  = 1196.50 days
Events      = 898


 SIGNALS 
==================================================================
2b2n_zr96_both            A = 5.41e-05 +/- 3.31e-06  Eff = 7.52e-02  Nexp = 4.29e+02 +/- 2.62e+01 

Runtime      = 1221.0 days 
Deadtime     = 2.01 % 
Corr. Time   = 1196.5 days

Data         = 898
Bgr          = 437.6 +/- 7.2
Sig          = 429.2 +/- 26.2
S/B          = 0.98
Eff          = 7.5 % 

96Zr Mass    = 9.40 gr. 
Activity     = 5.41e-05 +/- 3.31e-06 Bq. 
Syst Error   = (+) 8.2%  (-) 7.5% 
Half-life    = 2.3948e+19 yr. 
Corr. H-L    = 2.3467e+19 yr. 

Final Result = 2.35e+19 +/- 1.43e+18(stat) + 1.92e+18(syst) - 1.76e+18(syst) yr. 
Sigmas       = 14.9
2vBB NME     = 0.0487 +/- 0.0027

Fit rebinning  ==>  4
Energy Window  ==>  0.6 - 4.0 MeV 


 0vBB HELENE LIMIT
==================================================================
Energy window  = 2.70 - 3.99 MeV 
Data Events    = 1
Exp Bkg Events = 1.48 +/- 0.07
Exp 0v Events  < 3.12 @ 90 % CL 
0v Efficiency  = 0.04 % 
T_0v Helene    > 1.64e+19 yr 
Corr. T_0v     > 1.60e+19 yr 



 0vBB MC TLIMIT
==================================================================
Data Events    = 898
Exp Bkg Events = 866.76
Exp 0v Events  < 8.82 @ 90 % CL 
0v Efficiency  = 5.98 % 
Rebin          = 4
T_0v MClimit   > 9.27e+20 yr 
Corr. T_0v     > 9.08e+20 yr 



 LEPTON NUMBER VIOLATION 
==================================================================
